Shop SKU;variation(read only);PrimaryCategory;name;short_description;description;video;warranty_type;warranty;product_warranty;Hazmat;brand;color_family;about_product;country_origin_hb;delivery_and_handling;dietary_information;freshness;freshness_metric;items_per_each;product_type;shelf_expiry;unit_metric;unit_quantity;weight_or_age_range;clothing_material;fa_season;is_unisex;model;belt_styles;leather_material;fa_pattern;belt_material;fa_create_year;kid_years;kid_occasion;pants_fly;pants_length;waist_type;bottoms_types;skirt_length;dress_shape;number_of_pieces;dress_length;sleeves;collar_type;Dress_Type;w_blouse_sleevestyle;kid_accessories;hair_accessories;hat_brim_styles;hats_style;hoodie_style_type;jacket_coat_styles;jackets_closure_type;sock_tight_style;kid_swimwear;tops_type;umbrella_category;kid_underwear_styles;kid_sleep_styles;kid_boot_type;material_filter;toe_shape;heel_height;type_of_heels;boot_shaft_height;shoes_closuretype;shoes_decoration;kid_flat_type;kid_material_filter;kid_accessory_type;kid_sneaker_height;kid_sneaker_type;listed_year_season;fa_general_styles;bag_shape;wallet_types;occasion;shoe_accessory_type;men_shoes_closure;mens_trend;sneaker_upperheight;sneakers_style;metal;main_stone;material_type;scarves_styles;beach_style;tee_neckline;tee_sleeve_length;womens_trend;clothing_decoration;w_sleeve_length;jeans_decoration;jeans_fit_type;denim_features;pants_fit_type;intimates_types;bras_types;panties_styles;lingerie_styles;shapers_styles;sleep_lounge_styles;materinity_bottom_styles;pants_style;w_swimwear_style;swimwear_type;maternity_top_styles;accessories_types;mus_dress_styles;hijab_styles;shalat_styles;mus_top_styles;top_types;skirt_style;Fit_Type;multipack_bundle;Fabric;waterproof;sandal_type;SellerSku;quantity;price;special_price;special_from_date;special_to_date;package_content;package_weight;package_length;package_width;package_height;MainImage;Image2;Image3;Image4;Image5;Image6;Image7;Image8;min_delivery_time;max_delivery_time;size;color_thumbnail;delivery_option_sof;Status;FulfillmentBySellable
1213798041_PH-4314424071;One size A-5005-1;7431;high quality fashion thailand printed plus size blouse;"<P>fashion korean plus size blouse&nbsp;</P>

<P>printed floral blouse&nbsp;</P>

<P>cotton fabric</P>

<P>high quality</P>

<P>casual blouse</P>

<P>&nbsp;</P>";"<P style=""font-family: none;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""></P><DIV style=""width: 100.0%;""><IMG src=""https://ph-live-02.slatic.net/p/2b02bf2386f06d1f32a9ea76c2289d94.jpg"" style=""width: 100.0%;display: block;""/></DIV><DIV style=""width: 100.0%;""><IMG src=""https://ph-live-02.slatic.net/p/4f458e6a469a77361fc14baf38f05af8.jpg"" style=""width: 100.0%;display: block;""/></DIV><DIV style=""width: 100.0%;""><IMG src=""https://ph-live-02.slatic.net/p/8c073bc4cbb894a0741eb29191bc197e.jpg"" style=""width: 100.0%;display: block;""/></DIV><DIV style=""width: 100.0%;""><IMG src=""https://ph-live-02.slatic.net/p/7a7954fe268840af0e729743405a55df.jpg"" style=""width: 100.0%;display: block;""/></DIV>";;;;;;No Brand;A-5005-1;;;;;;;;;;;;;cotton;Summer;;;;;Floral;;2020;;;;;;;;;;;Short Sleeve;V-Neck;;Short Sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Casual;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tanks & Camisoles;;;;;;;A-One size-A-5005-1;20;880.00;299.00;2020-09-19 21:31;2021-09-19 21:31;blouse;0.8;36.00;24.00;5.00;https://ph-live.slatic.net/p/dfbb5b20d5ea9299678ac51b5bd50c8a.jpg;https://ph-live.slatic.net/p/7a7954fe268840af0e729743405a55df.jpg;https://ph-live.slatic.net/p/8c073bc4cbb894a0741eb29191bc197e.jpg;;;;;;2;7;Int: One size;;No;active;0
1213798041_PH-4314424070;One size A-5005-4;7431;high quality fashion thailand printed plus size blouse;"<P>fashion korean plus size blouse&nbsp;</P>

<P>printed floral blouse&nbsp;</P>

<P>cotton fabric</P>

<P>high quality</P>

<P>casual blouse</P>

<P>&nbsp;</P>";"<P style=""font-family: none;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""></P><DIV style=""width: 100.0%;""><IMG src=""https://ph-live-02.slatic.net/p/2b02bf2386f06d1f32a9ea76c2289d94.jpg"" style=""width: 100.0%;display: block;""/></DIV><DIV style=""width: 100.0%;""><IMG src=""https://ph-live-02.slatic.net/p/4f458e6a469a77361fc14baf38f05af8.jpg"" style=""width: 100.0%;display: block;""/></DIV><DIV style=""width: 100.0%;""><IMG src=""https://ph-live-02.slatic.net/p/8c073bc4cbb894a0741eb29191bc197e.jpg"" style=""width: 100.0%;display: block;""/></DIV><DIV style=""width: 100.0%;""><IMG src=""https://ph-live-02.slatic.net/p/7a7954fe268840af0e729743405a55df.jpg"" style=""width: 100.0%;display: block;""/></DIV>";;;;;;No Brand;A-5005-4;;;;;;;;;;;;;cotton;Summer;;;;;Floral;;2020;;;;;;;;;;;Short Sleeve;V-Neck;;Short Sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Casual;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tanks & Camisoles;;;;;;;A-One size-A-5005-4;30;880.00;299.00;2020-09-19 21:31;2021-09-19 21:31;blouse;0.8;36.00;24.00;5.00;https://ph-live.slatic.net/p/b5b670d79c80fcb30d9e36992e5a0b3a.jpg;https://ph-live.slatic.net/p/4f458e6a469a77361fc14baf38f05af8.jpg;https://ph-live.slatic.net/p/7a7954fe268840af0e729743405a55df.jpg;;;;;;2;7;Int: One size;;No;active;0
1213798041_PH-4314424069;One size A-5005-3;7431;high quality fashion thailand printed plus size blouse;"<P>fashion korean plus size blouse&nbsp;</P>

<P>printed floral blouse&nbsp;</P>

<P>cotton fabric</P>

<P>high quality</P>

<P>casual blouse</P>

<P>&nbsp;</P>";"<P style=""font-family: none;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""></P><DIV style=""width: 100.0%;""><IMG src=""https://ph-live-02.slatic.net/p/2b02bf2386f06d1f32a9ea76c2289d94.jpg"" style=""width: 100.0%;display: block;""/></DIV><DIV style=""width: 100.0%;""><IMG src=""https://ph-live-02.slatic.net/p/4f458e6a469a77361fc14baf38f05af8.jpg"" style=""width: 100.0%;display: block;""/></DIV><DIV style=""width: 100.0%;""><IMG src=""https://ph-live-02.slatic.net/p/8c073bc4cbb894a0741eb29191bc197e.jpg"" style=""width: 100.0%;display: block;""/></DIV><DIV style=""width: 100.0%;""><IMG src=""https://ph-live-02.slatic.net/p/7a7954fe268840af0e729743405a55df.jpg"" style=""width: 100.0%;display: block;""/></DIV>";;;;;;No Brand;A-5005-3;;;;;;;;;;;;;cotton;Summer;;;;;Floral;;2020;;;;;;;;;;;Short Sleeve;V-Neck;;Short Sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Casual;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tanks & Camisoles;;;;;;;A-One size-A-5005-3;50;880.00;299.00;2020-09-19 21:31;2021-09-19 21:31;blouse;0.8;36.00;24.00;5.00;https://ph-live.slatic.net/p/7a7954fe268840af0e729743405a55df.jpg;https://ph-live.slatic.net/p/dfbb5b20d5ea9299678ac51b5bd50c8a.jpg;https://ph-live.slatic.net/p/b5b670d79c80fcb30d9e36992e5a0b3a.jpg;;;;;;2;7;Int: One size;;No;active;0
1213798041_PH-4314424068;One size A-5005-6;7431;high quality fashion thailand printed plus size blouse;"<P>fashion korean plus size blouse&nbsp;</P>

<P>printed floral blouse&nbsp;</P>

<P>cotton fabric</P>

<P>high quality</P>

<P>casual blouse</P>

<P>&nbsp;</P>";"<P style=""font-family: none;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""></P><DIV style=""width: 100.0%;""><IMG src=""https://ph-live-02.slatic.net/p/2b02bf2386f06d1f32a9ea76c2289d94.jpg"" style=""width: 100.0%;display: block;""/></DIV><DIV style=""width: 100.0%;""><IMG src=""https://ph-live-02.slatic.net/p/4f458e6a469a77361fc14baf38f05af8.jpg"" style=""width: 100.0%;display: block;""/></DIV><DIV style=""width: 100.0%;""><IMG src=""https://ph-live-02.slatic.net/p/8c073bc4cbb894a0741eb29191bc197e.jpg"" style=""width: 100.0%;display: block;""/></DIV><DIV style=""width: 100.0%;""><IMG src=""https://ph-live-02.slatic.net/p/7a7954fe268840af0e729743405a55df.jpg"" style=""width: 100.0%;display: block;""/></DIV>";;;;;;No Brand;A-5005-6;;;;;;;;;;;;;cotton;Summer;;;;;Floral;;2020;;;;;;;;;;;Short Sleeve;V-Neck;;Short Sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Casual;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tanks & Camisoles;;;;;;;A-One size-A-5005-6;30;880.00;299.00;2020-09-19 21:31;2021-09-19 21:31;blouse;0.8;36.00;24.00;5.00;https://ph-live.slatic.net/p/4f458e6a469a77361fc14baf38f05af8.jpg;https://ph-live.slatic.net/p/8c073bc4cbb894a0741eb29191bc197e.jpg;https://ph-live.slatic.net/p/dfbb5b20d5ea9299678ac51b5bd50c8a.jpg;;;;;;2;7;Int: One size;;No;active;0
1213798041_PH-4314424067;One size A-5005-7;7431;high quality fashion thailand printed plus size blouse;"<P>fashion korean plus size blouse&nbsp;</P>

<P>printed floral blouse&nbsp;</P>

<P>cotton fabric</P>

<P>high quality</P>

<P>casual blouse</P>

<P>&nbsp;</P>";"<P style=""font-family: none;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""></P><DIV style=""width: 100.0%;""><IMG src=""https://ph-live-02.slatic.net/p/2b02bf2386f06d1f32a9ea76c2289d94.jpg"" style=""width: 100.0%;display: block;""/></DIV><DIV style=""width: 100.0%;""><IMG src=""https://ph-live-02.slatic.net/p/4f458e6a469a77361fc14baf38f05af8.jpg"" style=""width: 100.0%;display: block;""/></DIV><DIV style=""width: 100.0%;""><IMG src=""https://ph-live-02.slatic.net/p/8c073bc4cbb894a0741eb29191bc197e.jpg"" style=""width: 100.0%;display: block;""/></DIV><DIV style=""width: 100.0%;""><IMG src=""https://ph-live-02.slatic.net/p/7a7954fe268840af0e729743405a55df.jpg"" style=""width: 100.0%;display: block;""/></DIV>";;;;;;No Brand;A-5005-7;;;;;;;;;;;;;cotton;Summer;;;;;Floral;;2020;;;;;;;;;;;Short Sleeve;V-Neck;;Short Sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Casual;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tanks & Camisoles;;;;;;;A-One size-A-5005-7;30;880.00;299.00;2020-09-19 21:31;2021-09-19 21:31;blouse;0.8;36.00;24.00;5.00;https://ph-live.slatic.net/p/8c073bc4cbb894a0741eb29191bc197e.jpg;https://ph-live.slatic.net/p/4f458e6a469a77361fc14baf38f05af8.jpg;https://ph-live.slatic.net/p/b5b670d79c80fcb30d9e36992e5a0b3a.jpg;;;;;;2;7;Int: One size;;No;active;0
1213246902_PH-4312126649;One size p;7431;high quality fashion shopp cusal blouse with /necklace;"<P>fashion thailand blouse</P>

<P>casual and fomal blouse</P>

<P>cotton fabric</P>

<P>free size fit m to xl</P>

<P>high quality ( with / necklace) very comfortable fabric</P>

<P>If you are satisfied please give me review and 5 stars thank you&nbsp;</P>";"<P style=""margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><SPAN style=""font-family: none;""></SPAN></P><DIV style=""width: 100.0%;""><IMG src=""https://ph-live-02.slatic.net/p/c15fa8f4ef8a6e16356cf420b35f5c8c.jpg"" style=""width: 100.0%;display: block;""/></DIV><DIV style=""width: 100.0%;""><IMG src=""https://ph-live-02.slatic.net/p/808ffaf01446e623850cb9793e9b7e91.jpg"" style=""width: 100.0%;display: block;""/></DIV><DIV style=""width: 100.0%;""><IMG src=""https://ph-live-02.slatic.net/p/12510f8368b9652fab313f36ba1b61a9.jpg"" style=""width: 100.0%;display: block;""/></DIV><DIV style=""width: 100.0%;""><IMG src=""https://ph-live-02.slatic.net/p/0056c90b7f02e50c2b71dd3f71c825a1.jpg"" style=""width: 100.0%;display: block;""/></DIV><P></P><DIV style=""width: 100.0%;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><DIV style=""width: 100.0%;display: block;""><IMG src=""https://ph-live-02.slatic.net/p/dff4e86124fbb34e72fa2c513367ee64.jpg"" style=""width: 100.0%;display: block;""/></DIV></DIV><DIV style=""width: 100.0%;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><DIV style=""width: 100.0%;display: block;""><IMG src=""https://ph-live-02.slatic.net/p/9b6d1df23d580d40cdeb1778e332f1c9.jpg"" style=""width: 100.0%;display: block;""/></DIV></DIV><DIV style=""width: 100.0%;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><DIV style=""width: 100.0%;display: block;""><IMG src=""https://sg-live-02.slatic.net/p/af517d4f0c1cfc8745066619cb021cee.jpg_750x400.png"" style=""width: 100.0%;display: block;""/></DIV></DIV><P style=""margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><SPAN></SPAN></P>";;;;;;No Brand;Pink;;;;;;;;;;;;;Cotton;;;;;;Plain;;;;;;;;;;;;;;O-Neck;;Short Sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;korean-One size-Pink;50;580.00;299.00;2020-09-18 00:00;2021-10-28 00:00;blouse;0.7;35.00;24.00;6.00;https://ph-live.slatic.net/p/808ffaf01446e623850cb9793e9b7e91.jpg;https://ph-live.slatic.net/p/8d69e235ef56e4dc296c6b91d0ccfafc.jpg;https://ph-live.slatic.net/p/dff4e86124fbb34e72fa2c513367ee64.jpg;;;;;;2;7;Int: One size;;No;active;0
1213246902_PH-4312126648;One size powder blue;7431;high quality fashion shopp cusal blouse with /necklace;"<P>fashion thailand blouse</P>

<P>casual and fomal blouse</P>

<P>cotton fabric</P>

<P>free size fit m to xl</P>

<P>high quality ( with / necklace) very comfortable fabric</P>

<P>If you are satisfied please give me review and 5 stars thank you&nbsp;</P>";"<P style=""margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><SPAN style=""font-family: none;""></SPAN></P><DIV style=""width: 100.0%;""><IMG src=""https://ph-live-02.slatic.net/p/c15fa8f4ef8a6e16356cf420b35f5c8c.jpg"" style=""width: 100.0%;display: block;""/></DIV><DIV style=""width: 100.0%;""><IMG src=""https://ph-live-02.slatic.net/p/808ffaf01446e623850cb9793e9b7e91.jpg"" style=""width: 100.0%;display: block;""/></DIV><DIV style=""width: 100.0%;""><IMG src=""https://ph-live-02.slatic.net/p/12510f8368b9652fab313f36ba1b61a9.jpg"" style=""width: 100.0%;display: block;""/></DIV><DIV style=""width: 100.0%;""><IMG src=""https://ph-live-02.slatic.net/p/0056c90b7f02e50c2b71dd3f71c825a1.jpg"" style=""width: 100.0%;display: block;""/></DIV><P></P><DIV style=""width: 100.0%;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><DIV style=""width: 100.0%;display: block;""><IMG src=""https://ph-live-02.slatic.net/p/dff4e86124fbb34e72fa2c513367ee64.jpg"" style=""width: 100.0%;display: block;""/></DIV></DIV><DIV style=""width: 100.0%;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><DIV style=""width: 100.0%;display: block;""><IMG src=""https://ph-live-02.slatic.net/p/9b6d1df23d580d40cdeb1778e332f1c9.jpg"" style=""width: 100.0%;display: block;""/></DIV></DIV><DIV style=""width: 100.0%;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><DIV style=""width: 100.0%;display: block;""><IMG src=""https://sg-live-02.slatic.net/p/af517d4f0c1cfc8745066619cb021cee.jpg_750x400.png"" style=""width: 100.0%;display: block;""/></DIV></DIV><P style=""margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><SPAN></SPAN></P>";;;;;;No Brand;powder blue;;;;;;;;;;;;;Cotton;;;;;;Plain;;;;;;;;;;;;;;O-Neck;;Short Sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;korean-One size-powder blue;50;580.00;299.00;2020-09-18 00:00;2021-10-28 00:00;blouse;0.7;35.00;24.00;6.00;https://ph-live.slatic.net/p/12510f8368b9652fab313f36ba1b61a9.jpg;https://ph-live.slatic.net/p/9b6d1df23d580d40cdeb1778e332f1c9.jpg;https://ph-live.slatic.net/p/808ffaf01446e623850cb9793e9b7e91.jpg;;;;;;2;7;Int: One size;;No;active;0
1213246902_PH-4312126647;One size w;7431;high quality fashion shopp cusal blouse with /necklace;"<P>fashion thailand blouse</P>

<P>casual and fomal blouse</P>

<P>cotton fabric</P>

<P>free size fit m to xl</P>

<P>high quality ( with / necklace) very comfortable fabric</P>

<P>If you are satisfied please give me review and 5 stars thank you&nbsp;</P>";"<P style=""margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><SPAN style=""font-family: none;""></SPAN></P><DIV style=""width: 100.0%;""><IMG src=""https://ph-live-02.slatic.net/p/c15fa8f4ef8a6e16356cf420b35f5c8c.jpg"" style=""width: 100.0%;display: block;""/></DIV><DIV style=""width: 100.0%;""><IMG src=""https://ph-live-02.slatic.net/p/808ffaf01446e623850cb9793e9b7e91.jpg"" style=""width: 100.0%;display: block;""/></DIV><DIV style=""width: 100.0%;""><IMG src=""https://ph-live-02.slatic.net/p/12510f8368b9652fab313f36ba1b61a9.jpg"" style=""width: 100.0%;display: block;""/></DIV><DIV style=""width: 100.0%;""><IMG src=""https://ph-live-02.slatic.net/p/0056c90b7f02e50c2b71dd3f71c825a1.jpg"" style=""width: 100.0%;display: block;""/></DIV><P></P><DIV style=""width: 100.0%;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><DIV style=""width: 100.0%;display: block;""><IMG src=""https://ph-live-02.slatic.net/p/dff4e86124fbb34e72fa2c513367ee64.jpg"" style=""width: 100.0%;display: block;""/></DIV></DIV><DIV style=""width: 100.0%;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><DIV style=""width: 100.0%;display: block;""><IMG src=""https://ph-live-02.slatic.net/p/9b6d1df23d580d40cdeb1778e332f1c9.jpg"" style=""width: 100.0%;display: block;""/></DIV></DIV><DIV style=""width: 100.0%;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><DIV style=""width: 100.0%;display: block;""><IMG src=""https://sg-live-02.slatic.net/p/af517d4f0c1cfc8745066619cb021cee.jpg_750x400.png"" style=""width: 100.0%;display: block;""/></DIV></DIV><P style=""margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><SPAN></SPAN></P>";;;;;;No Brand;White;;;;;;;;;;;;;Cotton;;;;;;Plain;;;;;;;;;;;;;;O-Neck;;Short Sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;korean-One size-White;50;580.00;299.00;2020-09-18 00:00;2021-10-28 00:00;blouse;0.7;35.00;24.00;6.00;https://ph-live.slatic.net/p/0056c90b7f02e50c2b71dd3f71c825a1.jpg;https://ph-live.slatic.net/p/8d69e235ef56e4dc296c6b91d0ccfafc.jpg;https://ph-live.slatic.net/p/12510f8368b9652fab313f36ba1b61a9.jpg;;;;;;2;7;Int: One size;;No;active;0
1213246902_PH-4312126646;One size dark pink;7431;high quality fashion shopp cusal blouse with /necklace;"<P>fashion thailand blouse</P>

<P>casual and fomal blouse</P>

<P>cotton fabric</P>

<P>free size fit m to xl</P>

<P>high quality ( with / necklace) very comfortable fabric</P>

<P>If you are satisfied please give me review and 5 stars thank you&nbsp;</P>";"<P style=""margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><SPAN style=""font-family: none;""></SPAN></P><DIV style=""width: 100.0%;""><IMG src=""https://ph-live-02.slatic.net/p/c15fa8f4ef8a6e16356cf420b35f5c8c.jpg"" style=""width: 100.0%;display: block;""/></DIV><DIV style=""width: 100.0%;""><IMG src=""https://ph-live-02.slatic.net/p/808ffaf01446e623850cb9793e9b7e91.jpg"" style=""width: 100.0%;display: block;""/></DIV><DIV style=""width: 100.0%;""><IMG src=""https://ph-live-02.slatic.net/p/12510f8368b9652fab313f36ba1b61a9.jpg"" style=""width: 100.0%;display: block;""/></DIV><DIV style=""width: 100.0%;""><IMG src=""https://ph-live-02.slatic.net/p/0056c90b7f02e50c2b71dd3f71c825a1.jpg"" style=""width: 100.0%;display: block;""/></DIV><P></P><DIV style=""width: 100.0%;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><DIV style=""width: 100.0%;display: block;""><IMG src=""https://ph-live-02.slatic.net/p/dff4e86124fbb34e72fa2c513367ee64.jpg"" style=""width: 100.0%;display: block;""/></DIV></DIV><DIV style=""width: 100.0%;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><DIV style=""width: 100.0%;display: block;""><IMG src=""https://ph-live-02.slatic.net/p/9b6d1df23d580d40cdeb1778e332f1c9.jpg"" style=""width: 100.0%;display: block;""/></DIV></DIV><DIV style=""width: 100.0%;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><DIV style=""width: 100.0%;display: block;""><IMG src=""https://sg-live-02.slatic.net/p/af517d4f0c1cfc8745066619cb021cee.jpg_750x400.png"" style=""width: 100.0%;display: block;""/></DIV></DIV><P style=""margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><SPAN></SPAN></P>";;;;;;No Brand;dark pink;;;;;;;;;;;;;Cotton;;;;;;Plain;;;;;;;;;;;;;;O-Neck;;Short Sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;korean-One size-dark pink;50;580.00;299.00;2020-09-18 00:00;2021-10-28 00:00;blouse;0.7;35.00;24.00;6.00;https://ph-live.slatic.net/p/8d69e235ef56e4dc296c6b91d0ccfafc.jpg;https://ph-live.slatic.net/p/c15fa8f4ef8a6e16356cf420b35f5c8c.jpg;https://ph-live.slatic.net/p/0056c90b7f02e50c2b71dd3f71c825a1.jpg;;;;;;2;7;Int: One size;;No;active;0
1213246902_PH-4312126645;One size mustared;7431;high quality fashion shopp cusal blouse with /necklace;"<P>fashion thailand blouse</P>

<P>casual and fomal blouse</P>

<P>cotton fabric</P>

<P>free size fit m to xl</P>

<P>high quality ( with / necklace) very comfortable fabric</P>

<P>If you are satisfied please give me review and 5 stars thank you&nbsp;</P>";"<P style=""margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><SPAN style=""font-family: none;""></SPAN></P><DIV style=""width: 100.0%;""><IMG src=""https://ph-live-02.slatic.net/p/c15fa8f4ef8a6e16356cf420b35f5c8c.jpg"" style=""width: 100.0%;display: block;""/></DIV><DIV style=""width: 100.0%;""><IMG src=""https://ph-live-02.slatic.net/p/808ffaf01446e623850cb9793e9b7e91.jpg"" style=""width: 100.0%;display: block;""/></DIV><DIV style=""width: 100.0%;""><IMG src=""https://ph-live-02.slatic.net/p/12510f8368b9652fab313f36ba1b61a9.jpg"" style=""width: 100.0%;display: block;""/></DIV><DIV style=""width: 100.0%;""><IMG src=""https://ph-live-02.slatic.net/p/0056c90b7f02e50c2b71dd3f71c825a1.jpg"" style=""width: 100.0%;display: block;""/></DIV><P></P><DIV style=""width: 100.0%;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><DIV style=""width: 100.0%;display: block;""><IMG src=""https://ph-live-02.slatic.net/p/dff4e86124fbb34e72fa2c513367ee64.jpg"" style=""width: 100.0%;display: block;""/></DIV></DIV><DIV style=""width: 100.0%;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><DIV style=""width: 100.0%;display: block;""><IMG src=""https://ph-live-02.slatic.net/p/9b6d1df23d580d40cdeb1778e332f1c9.jpg"" style=""width: 100.0%;display: block;""/></DIV></DIV><DIV style=""width: 100.0%;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><DIV style=""width: 100.0%;display: block;""><IMG src=""https://sg-live-02.slatic.net/p/af517d4f0c1cfc8745066619cb021cee.jpg_750x400.png"" style=""width: 100.0%;display: block;""/></DIV></DIV><P style=""margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><SPAN></SPAN></P>";;;;;;No Brand;mustared;;;;;;;;;;;;;Cotton;;;;;;Plain;;;;;;;;;;;;;;O-Neck;;Short Sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;korean-One size-mustared;50;580.00;299.00;2020-09-18 00:00;2021-10-28 00:00;blouse;0.7;35.00;24.00;6.00;https://ph-live.slatic.net/p/9b6d1df23d580d40cdeb1778e332f1c9.jpg;https://ph-live.slatic.net/p/c15fa8f4ef8a6e16356cf420b35f5c8c.jpg;https://ph-live.slatic.net/p/8d69e235ef56e4dc296c6b91d0ccfafc.jpg;;;;;;2;7;Int: One size;;No;active;0
1213246902_PH-4312126644;One size na;7431;high quality fashion shopp cusal blouse with /necklace;"<P>fashion thailand blouse</P>

<P>casual and fomal blouse</P>

<P>cotton fabric</P>

<P>free size fit m to xl</P>

<P>high quality ( with / necklace) very comfortable fabric</P>

<P>If you are satisfied please give me review and 5 stars thank you&nbsp;</P>";"<P style=""margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><SPAN style=""font-family: none;""></SPAN></P><DIV style=""width: 100.0%;""><IMG src=""https://ph-live-02.slatic.net/p/c15fa8f4ef8a6e16356cf420b35f5c8c.jpg"" style=""width: 100.0%;display: block;""/></DIV><DIV style=""width: 100.0%;""><IMG src=""https://ph-live-02.slatic.net/p/808ffaf01446e623850cb9793e9b7e91.jpg"" style=""width: 100.0%;display: block;""/></DIV><DIV style=""width: 100.0%;""><IMG src=""https://ph-live-02.slatic.net/p/12510f8368b9652fab313f36ba1b61a9.jpg"" style=""width: 100.0%;display: block;""/></DIV><DIV style=""width: 100.0%;""><IMG src=""https://ph-live-02.slatic.net/p/0056c90b7f02e50c2b71dd3f71c825a1.jpg"" style=""width: 100.0%;display: block;""/></DIV><P></P><DIV style=""width: 100.0%;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><DIV style=""width: 100.0%;display: block;""><IMG src=""https://ph-live-02.slatic.net/p/dff4e86124fbb34e72fa2c513367ee64.jpg"" style=""width: 100.0%;display: block;""/></DIV></DIV><DIV style=""width: 100.0%;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><DIV style=""width: 100.0%;display: block;""><IMG src=""https://ph-live-02.slatic.net/p/9b6d1df23d580d40cdeb1778e332f1c9.jpg"" style=""width: 100.0%;display: block;""/></DIV></DIV><DIV style=""width: 100.0%;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><DIV style=""width: 100.0%;display: block;""><IMG src=""https://sg-live-02.slatic.net/p/af517d4f0c1cfc8745066619cb021cee.jpg_750x400.png"" style=""width: 100.0%;display: block;""/></DIV></DIV><P style=""margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><SPAN></SPAN></P>";;;;;;No Brand;Navy Blue;;;;;;;;;;;;;Cotton;;;;;;Plain;;;;;;;;;;;;;;O-Neck;;Short Sleeve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;korean-One size-Navy Blue;50;580.00;299.00;2020-09-18 00:00;2021-10-28 00:00;blouse;0.7;35.00;24.00;6.00;https://ph-live.slatic.net/p/c15fa8f4ef8a6e16356cf420b35f5c8c.jpg;https://ph-live.slatic.net/p/12510f8368b9652fab313f36ba1b61a9.jpg;https://ph-live.slatic.net/p/0056c90b7f02e50c2b71dd3f71c825a1.jpg;;;;;;2;7;Int: One size;;No;active;0
